_state,year,state_name,current_smoker_count,total_count,current_smoker_prev,past_year_quit_attempt_prev,past_year_quit_attempt_count,male_pct,white_pct,black_pct,hispanic_pct,low_educ_pct,unemployed_pct,poverty_pct,medicaid_elig_pct,age_18_24_pct,age_25_34_pct,age_35_44_pct,age_45_54_pct,age_55_64_pct,any_nrt,any_medication,any_counseling,weighted_pop,sample_size,treatment_group,nrt_med,all_three
1.0,2014.0,Alabama,99551.08346140735,235917.55826981604,0.4219740327574601,0.03260118175395308,7691.191196103089,0.4416922749607408,0.5362922900872406,0.41568689336517456,0.023850764990257813,0.4318192027444317,0.7877836706899446,1.0,1.0,0.14087000866103522,0.13112336813620368,0.10313661439747908,0.2314034144909087,0.19827619386487294,1,1,0,235917.55826981604,579.0,2,1,0
1.0,2015.0,Alabama,76421.35511125787,238909.2087926301,0.3198761382931478,0.03241354837579803,7743.895196623547,0.4291131937468106,0.4925173218114865,0.4280909512510288,0.030926873452935582,0.40776552626636386,0.8358988044945133,1.0,1.0,0.13822995861082016,0.10785824685146018,0.11698105552388467,0.24197162017083415,0.1986716471998816,1,1,0,238909.2087926301,534.0,2,1,0
1.0,2016.0,Alabama,97556.88595208232,241179.21834561575,0.4044995527445524,0.029978393944845024,7230.165618874663,0.5115699223256666,0.5380297879429766,0.3977189338734434,0.009925206840741723,0.3142855027702525,0.7887446901813221,1.0,1.0,0.15807366182765356,0.10414272553447083,0.13359350208778087,0.17886858235995584,0.23749682142580886,1,1,0,241179.21834561575,468.0,2,1,0
1.0,2017.0,Alabama,81234.88698115939,228827.5776978573,0.35500479355867454,0.03175598072219113,7266.64414607885,0.5301480326213304,0.5207230456762473,0.412631240322476,0.010770439858382115,0.40257380065445736,0.7476559407772543,1.0,1.0,0.06353309236830028,0.1337852840995682,0.1365115687284505,0.24261493199782203,0.2056987347087978,1,1,0,228827.5776978573,439.0,2,1,0
1.0,2018.0,Alabama,74690.36120633647,249886.17939460478,0.29889752761552324,0.050914989759599766,12722.952264941812,0.46072225463123956,0.5163831735911538,0.4048664842076823,0.00666706055261667,0.3141895243813795,0.7529016751214189,1.0,1.0,0.16369184083430502,0.09664153106255344,0.13209101713129467,0.16510653535349962,0.2571040137281702,1,1,0,249886.17939460478,399.0,2,1,0
1.0,2019.0,Alabama,78621.1610505989,246508.7278546017,0.318938650711678,0.016553738933134693,4080.6411256442243,0.44933820552855447,0.5334712564216927,0.40570688136327326,0.005808487016329862,0.3069738915326636,0.8231302254656603,1.0,1.0,0.12047804598023963,0.09317369332437614,0.1316600925394255,0.20012336280243728,0.23512512177866218,1,1,0,246508.7278546017,454.0,2,1,0
1.0,2020.0,Alabama,68573.14773902098,194727.38081292243,0.3521494894695895,0.03005696694856249,5852.914449074151,0.48477226087793585,0.5408957552159658,0.3503887052862051,0.051027113050335825,0.2919835104415544,0.7774534201161694,1.0,1.0,0.1401684157049115,0.1268419567628446,0.07377171708972483,0.21190768626309467,0.2558652469367435,1,1,0,194727.38081292243,264.0,2,1,0
2.0,2011.0,Alaska,5120.158882185572,11327.723524955181,0.4520024584732995,0.020279611970347174,229.72183759346436,0.622178942741351,0.5230282445990274,0.0,0.03896249418824269,0.3130508915385039,0.6733885487271076,1.0,1.0,0.19300281028519733,0.12346223502924733,0.03110523589051668,0.2842513075610087,0.25846323233160035,1,1,0,11327.723524955181,86.0,2,1,0
2.0,2012.0,Alaska,4450.6573121122365,10248.255560077107,0.4342843800119628,0.00795781758483974,81.55374830991323,0.5184852583836909,0.4048274566385661,0.0,0.0724598917239908,0.2886899940320711,0.8176374599303285,1.0,1.0,0.04444250421152758,0.08032482510655374,0.041856546446515236,0.2804277337941153,0.2756271154712943,1,1,0,10248.255560077107,122.0,2,1,0
2.0,2013.0,Alaska,4881.321133284664,9405.142469475719,0.5190055492648766,0.016009894623337823,150.57533985378552,0.5938145160431197,0.4424669689463219,0.037027029205670005,0.0398781431719079,0.18575238081954892,0.8454075491202528,1.0,1.0,0.13772204719362727,0.08096531702939251,0.13510580103504813,0.18922771861251944,0.23777826727688545,1,1,0,9405.142469475719,98.0,2,1,0
2.0,2014.0,Alaska,8550.40018579271,20076.331417202557,0.42589455255088265,0.044832861373280936,900.079383311487,0.5471841159292978,0.3842908326079098,0.03763720234935538,0.08237739633573038,0.18112437380400656,0.6404431244045218,1.0,1.0,0.1737193972132341,0.13373803470671566,0.13363110218227875,0.18026365011612402,0.2371118559383942,1,1,0,20076.331417202557,134.0,2,1,0
2.0,2015.0,Alaska,7043.455143766898,19609.73415350049,0.3591815722045159,0.044728040356335014,877.1049805947708,0.5071193408652245,0.33209966304540706,0.03397635399399408,0.012441738744443522,0.21363431399599156,0.6308785390527437,1.0,1.0,0.32336630762972274,0.029771170301859752,0.0561345746799193,0.19396634846748256,0.2644300664078194,1,1,0,19609.73415350049,132.0,2,1,0
2.0,2016.0,Alaska,10990.546705876515,24774.56359007467,0.44362221219023257,0.018123480085514853,449.00130985203964,0.7278179290572329,0.43148772312751593,0.0548312836527605,0.02245520587061867,0.17203672443908283,0.6765060058320927,1.0,1.0,0.3601091847711047,0.09612859393848673,0.1092994617355322,0.16581973699799685,0.17118191684015935,1,1,0,24774.56359007467,124.0,2,1,0
